time	V(borne2)	V(vout)
1.158675544271114e-01	6.809943e-01	1.103703e+00
1.207503669271114e-01	6.742120e-01	1.174098e+00
1.256331794271114e-01	6.640140e-01	1.243612e+00
1.305159919271114e-01	6.504519e-01	1.311891e+00
1.353988044271114e-01	6.335945e-01	1.378590e+00
1.402816169271114e-01	6.135272e-01	1.443371e+00
1.451644294271114e-01	5.903516e-01	1.505906e+00
1.500472419271114e-01	5.641853e-01	1.565877e+00
1.549300544271114e-01	5.351605e-01	1.622982e+00
1.598128669271114e-01	5.034245e-01	1.676931e+00
1.646956794271114e-01	4.691381e-01	1.727450e+00
1.695784919271114e-01	4.324749e-01	1.774283e+00
1.744613044271114e-01	3.936208e-01	1.817194e+00
1.793441169271114e-01	3.527724e-01	1.855965e+00
1.842269294271114e-01	3.101368e-01	1.890400e+00
1.891097419271114e-01	2.659300e-01	1.920323e+00
1.939925544271114e-01	2.203760e-01	1.945584e+00
1.988753669271114e-01	1.737055e-01	1.966054e+00
2.037581794271114e-01	1.261549e-01	1.981629e+00
2.086409919271114e-01	7.796522e-02	1.992232e+00
2.135238044271114e-01	2.938057e-02	1.997808e+00
2.184066169271114e-01	-1.935293e-02	1.998329e+00
2.232894294271114e-01	-6.798837e-02	1.993791e+00
2.281722419271114e-01	-1.162794e-01	1.984220e+00
2.330550544271114e-01	-1.639813e-01	1.969661e+00
2.379378669271114e-01	-2.108524e-01	1.950191e+00
2.428206794271114e-01	-2.566552e-01	1.925906e+00
2.477034919271114e-01	-3.011578e-01	1.896930e+00
2.525863044271114e-01	-3.441347e-01	1.863410e+00
2.574691169271114e-01	-3.853680e-01	1.825517e+00
2.623519294271114e-01	-4.246491e-01	1.783440e+00
2.672347419271114e-01	-4.617787e-01	1.737395e+00
2.721175544271114e-01	-4.965688e-01	1.687614e+00
2.770003669271114e-01	-5.288432e-01	1.634349e+00
2.818831794271114e-01	-5.584384e-01	1.577871e+00
2.867659919271114e-01	-5.852043e-01	1.518464e+00
2.916488044271114e-01	-6.090055e-01	1.456432e+00
2.965316169271114e-01	-6.297212e-01	1.392086e+00
3.014144294271114e-01	-6.472467e-01	1.325754e+00
3.062972419271114e-01	-6.614931e-01	1.257772e+00
3.111800544271114e-01	-6.723881e-01	1.188484e+00
3.160628669271114e-01	-6.798767e-01	1.118241e+00
3.209456794271114e-01	-6.839209e-01	1.047399e+00
3.258284919271114e-01	-6.845001e-01	9.763172e-01
3.307113044271114e-01	-6.816114e-01	9.053550e-01
3.355941169271114e-01	-6.752696e-01	8.348722e-01
3.404769294271114e-01	-6.655067e-01	7.652261e-01
3.453597419271114e-01	-6.523722e-01	6.967694e-01
3.502425544271114e-01	-6.359326e-01	6.298488e-01
3.551253669271114e-01	-6.162711e-01	5.648035e-01
3.600081794271114e-01	-5.934876e-01	5.019630e-01
3.648909919271114e-01	-5.676972e-01	4.416456e-01
3.697738044271114e-01	-5.390308e-01	3.841570e-01
3.746566169271114e-01	-5.076334e-01	3.297884e-01
3.795394294271114e-01	-4.736643e-01	2.788152e-01
3.844222419271114e-01	-4.372956e-01	2.314957e-01
3.893050544271114e-01	-3.987113e-01	1.880696e-01
3.941878669271114e-01	-3.581070e-01	1.487569e-01
3.990706794271114e-01	-3.156885e-01	1.137568e-01
4.039534919271114e-01	-2.716707e-01	8.324658e-02
4.088363044271114e-01	-2.262764e-01	5.738085e-02
4.137191169271114e-01	-1.797358e-01	3.629062e-02
4.186019294271114e-01	-1.322846e-01	2.008277e-02
4.234847419271114e-01	-8.416322e-02	8.839386e-03
4.283675544271114e-01	-3.561542e-02	2.617443e-03
4.332503669271114e-01	1.311282e-02	1.448459e-03
4.381331794271114e-01	6.177464e-02	5.338358e-03
4.430159919271114e-01	1.101235e-01	1.426743e-02
4.478988044271114e-01	1.579145e-01	2.819045e-02
4.527816169271114e-01	2.049054e-01	4.703686e-02
4.576644294271114e-01	2.508582e-01	7.071120e-02
4.625472419271114e-01	2.955402e-01	9.909351e-02
4.674300544271114e-01	3.387249e-01	1.320400e-01
4.723128669271114e-01	3.801935e-01	1.693838e-01
4.771956794271114e-01	4.197360e-01	2.109357e-01
4.820784919271114e-01	4.571520e-01	2.564851e-01
4.869613044271114e-01	4.922520e-01	3.058013e-01
4.918441169271114e-01	5.248581e-01	3.586346e-01
4.967269294271114e-01	5.548052e-01	4.147170e-01
5.016097419271115e-01	5.819415e-01	4.737647e-01
5.064925544271115e-01	6.061296e-01	5.354784e-01
5.113753669271115e-01	6.272469e-01	5.995455e-01
5.162581794271115e-01	6.451864e-01	6.656413e-01
5.211409919271115e-01	6.598573e-01	7.334310e-01
5.260238044271115e-01	6.711851e-01	8.025713e-01
5.309066169271115e-01	6.791127e-01	8.727117e-01
5.357894294271115e-01	6.835996e-01	9.434970e-01
5.406722419271115e-01	6.846233e-01	1.014569e+00
5.455550544271115e-01	6.821785e-01	1.085566e+00
5.504378669271115e-01	6.762777e-01	1.156130e+00
5.553206794271115e-01	6.669507e-01	1.225904e+00
5.602034919271115e-01	6.542448e-01	1.294532e+00
5.650863044271115e-01	6.382242e-01	1.361669e+00
5.699691169271115e-01	6.189704e-01	1.426973e+00
5.748519294271115e-01	5.965807e-01	1.490114e+00
5.797347419271115e-01	5.711685e-01	1.550772e+00
5.846175544271115e-01	5.428628e-01	1.608640e+00
5.895003669271115e-01	5.118067e-01	1.663424e+00
5.943831794271115e-01	4.781578e-01	1.714847e+00
5.992659919271115e-01	4.420863e-01	1.762648e+00
6.041488044271115e-01	4.037752e-01	1.806586e+00
6.090316169271115e-01	3.634184e-01	1.846437e+00
6.139144294271115e-01	3.212205e-01	1.882000e+00
6.187972419271115e-01	2.773952e-01	1.913095e+00
6.236800544271115e-01	2.321646e-01	1.939564e+00
6.285628669271115e-01	1.857578e-01	1.961272e+00
6.334456794271115e-01	1.384099e-01	1.978111e+00
6.383284919271115e-01	9.036077e-02	1.989994e+00
6.432113044271115e-01	4.185387e-02	1.996861e+00
6.480941169271115e-01	-6.865061e-03	1.998679e+00
6.529769294271115e-01	-5.554920e-02	1.995436e+00
6.578597419271115e-01	-1.039519e-01	1.987151e+00
6.627425544271115e-01	-1.518280e-01	1.973864e+00
6.676253669271115e-01	-1.989348e-01	1.955644e+00
6.725081794271115e-01	-2.450338e-01	1.932582e+00
6.773909919271115e-01	-2.898914e-01	1.904795e+00
6.822738044271115e-01	-3.332803e-01	1.872424e+00
6.871566169271115e-01	-3.749808e-01	1.835634e+00
6.920394294271115e-01	-4.147815e-01	1.794610e+00
6.969222419271115e-01	-4.524808e-01	1.749560e+00
7.018050544271115e-01	-4.878877e-01	1.700713e+00
7.066878669271115e-01	-5.208228e-01	1.648316e+00
7.115706794271115e-01	-5.511194e-01	1.592634e+00
7.164534919271115e-01	-5.786238e-01	1.533950e+00
7.213363044271115e-01	-6.031968e-01	1.472560e+00
7.262191169271115e-01	-6.247138e-01	1.408777e+00
7.311019294271115e-01	-6.430659e-01	1.342922e+00
7.359847419271115e-01	-6.581600e-01	1.275331e+00
7.408675544271115e-01	-6.699198e-01	1.206344e+00
7.457503669271115e-01	-6.782855e-01	1.136312e+00
7.506331794271115e-01	-6.832150e-01	1.065589e+00
7.555159919271115e-01	-6.846830e-01	9.945341e-01
7.603988044271115e-01	-6.826823e-01	9.235067e-01
7.652816169271115e-01	-6.772230e-01	8.528669e-01
7.701644294271115e-01	-6.683326e-01	7.829725e-01
7.750472419271115e-01	-6.560563e-01	7.141775e-01
7.799300544271115e-01	-6.404563e-01	6.468307e-01
7.848128669271115e-01	-6.216116e-01	5.812730e-01
