time	V(vin)	V(vout)
0.000000000000000e+00	-2.000000e+00	-1.999990e+00
1.999999992008394e-11	-1.920000e+00	-1.999990e+00
3.999999984016789e-11	-1.840000e+00	-1.999990e+00
7.999999968033578e-11	-1.680000e+00	-1.999990e+00
1.526626603698195e-10	-1.389349e+00	-1.999990e+00
2.979879817487869e-10	-8.080481e-01	-1.999990e+00
5.167669682520238e-10	6.706788e-02	-1.999990e+00
7.416127780701270e-10	9.664511e-01	-1.999990e+00
1.000000000000000e-09	2.000000e+00	-1.999990e+00
1.077516166578962e-09	2.000000e+00	-1.999990e+00
1.180871055350911e-09	2.000000e+00	-1.999990e+00
1.387580832894810e-09	2.000000e+00	-1.999990e+00
1.801000387982607e-09	2.000000e+00	-1.999990e+00
2.362362161547342e-09	2.000000e+00	-1.999990e+00
3.102154546669092e-09	2.000000e+00	-1.999990e+00
4.033333400164424e-09	2.000000e+00	-1.999990e+00
5.264043337032369e-09	2.000000e+00	-1.999990e+00
6.845822686802298e-09	2.000000e+00	-1.999992e+00
8.841824737349661e-09	2.000000e+00	-1.999997e+00
1.090072240739172e-08	2.000000e+00	-2.000009e+00
1.315169070625293e-08	2.000000e+00	-2.000035e+00
1.590843131396780e-08	2.000000e+00	-2.000086e+00
1.907410502267040e-08	2.000000e+00	-2.000180e+00
2.386473108951734e-08	2.000000e+00	-2.000392e+00
3.015606830647929e-08	2.000000e+00	-2.000770e+00
3.622743024283640e-08	2.000000e+00	-2.001221e+00
4.308496114751801e-08	2.000000e+00	-2.001795e+00
5.015352327767055e-08	2.000000e+00	-2.002393e+00
5.853080243451945e-08	2.000000e+00	-2.003041e+00
6.775808675648355e-08	2.000000e+00	-2.003609e+00
7.752502558936669e-08	2.000000e+00	-2.003993e+00
8.745943888407913e-08	2.000000e+00	-2.004124e+00
9.870232932148624e-08	2.000000e+00	-2.003978e+00
1.101789760550645e-07	2.000000e+00	-2.003559e+00
1.223567462168872e-07	2.000000e+00	-2.002890e+00
1.355782408741471e-07	2.000000e+00	-2.002012e+00
1.507610234125584e-07	2.000000e+00	-2.000953e+00
1.683697663254314e-07	2.000000e+00	-1.999810e+00
1.864102440221675e-07	2.000000e+00	-1.998851e+00
2.047899123429030e-07	2.000000e+00	-1.998171e+00
2.247138848342985e-07	2.000000e+00	-1.997784e+00
2.478306532250551e-07	2.000000e+00	-1.997717e+00
2.780489579825368e-07	2.000000e+00	-1.998004e+00
3.089901133123104e-07	2.000000e+00	-1.998492e+00
3.425626750999194e-07	2.000000e+00	-1.999035e+00
3.730636545209645e-07	2.000000e+00	-1.999424e+00
4.033664625031533e-07	2.000000e+00	-1.999685e+00
4.183140169398564e-07	2.000000e+00	-1.999768e+00
4.320012640414493e-07	2.000000e+00	-1.999814e+00
4.476956503464426e-07	2.000000e+00	-1.999848e+00
4.649423804036120e-07	2.000000e+00	-1.999871e+00
4.820034448470227e-07	2.000000e+00	-1.999884e+00
5.006995676642753e-07	2.000000e+00	-1.999891e+00
5.214993030769112e-07	2.000000e+00	-1.999898e+00
5.475508160439643e-07	2.000000e+00	-1.999907e+00
5.842614001155124e-07	2.000000e+00	-1.999922e+00
6.171821611732268e-07	2.000000e+00	-1.999938e+00
6.459701076572241e-07	2.000000e+00	-1.999951e+00
6.784688052289928e-07	2.000000e+00	-1.999964e+00
7.113795725694182e-07	2.000000e+00	-1.999974e+00
7.429072069061305e-07	2.000000e+00	-1.999979e+00
7.713794199996627e-07	2.000000e+00	-1.999983e+00
8.067486502757274e-07	2.000000e+00	-1.999985e+00
8.392423541344971e-07	2.000000e+00	-1.999986e+00
8.827513860604683e-07	2.000000e+00	-1.999987e+00
9.340184314577701e-07	2.000000e+00	-1.999988e+00
1.036552522252374e-06	2.000000e+00	-1.999989e+00
1.133325037779273e-06	2.000000e+00	-1.999990e+00
1.403600212903747e-06	2.000000e+00	-1.999990e+00
8.222650075699793e-04	2.000000e+00	-1.999586e+00
1.643126414927055e-03	2.000000e+00	-1.998536e+00
2.463987822284130e-03	2.000000e+00	-1.996841e+00
3.284849229641206e-03	2.000000e+00	-1.994501e+00
4.105710636998282e-03	2.000000e+00	-1.991516e+00
4.926572044355357e-03	2.000000e+00	-1.987885e+00
5.747433451712430e-03	2.000000e+00	-1.983609e+00
1.063024595171243e-02	2.000000e+00	-1.949983e+00
1.551305845171243e-02	2.000000e+00	-1.900938e+00
2.039587095171243e-02	2.000000e+00	-1.835840e+00
2.527868345171243e-02	2.000000e+00	-1.756021e+00
3.016149595171243e-02	2.000000e+00	-1.662798e+00
3.504430845171243e-02	2.000000e+00	-1.557473e+00
3.992712095171243e-02	2.000000e+00	-1.441326e+00
4.480993345171243e-02	2.000000e+00	-1.315607e+00
4.969274595171243e-02	2.000000e+00	-1.181537e+00
5.457555845171243e-02	2.000000e+00	-1.040299e+00
5.945837095171243e-02	2.000000e+00	-8.930366e-01
6.434118345171243e-02	2.000000e+00	-7.408530e-01
6.922399595171243e-02	2.000000e+00	-5.848044e-01
7.410680845171243e-02	2.000000e+00	-4.258999e-01
7.898962095171243e-02	2.000000e+00	-2.650990e-01
8.387243345171243e-02	2.000000e+00	-1.033102e-01
8.875524595171243e-02	2.000000e+00	5.861054e-02
9.363805845171243e-02	2.000000e+00	2.198603e-01
9.852087095171243e-02	2.000000e+00	3.796902e-01
1.034036834517124e-01	2.000000e+00	5.374054e-01
1.082864959517124e-01	2.000000e+00	6.923651e-01
1.131693084517124e-01	2.000000e+00	8.439826e-01
1.180521209517124e-01	2.000000e+00	9.917244e-01
1.229349334517124e-01	2.000000e+00	1.135110e+00
1.278177459517124e-01	2.000000e+00	1.273709e+00
1.327005584517124e-01	2.000000e+00	1.407144e+00
1.375833709517124e-01	2.000000e+00	1.535085e+00
1.424661834517124e-01	2.000000e+00	1.657250e+00
1.473489959517124e-01	2.000000e+00	1.773404e+00
1.522318084517124e-01	2.000000e+00	1.883355e+00
1.571146209517124e-01	2.000000e+00	1.986954e+00
1.619974334517124e-01	2.000000e+00	2.084093e+00
1.668802459517124e-01	2.000000e+00	2.174703e+00
1.766458709517124e-01	2.000000e+00	2.336232e+00
1.864114959517124e-01	2.000000e+00	2.471674e+00
1.961771209517124e-01	2.000000e+00	2.581641e+00
2.059427459517124e-01	2.000000e+00	2.667150e+00
2.108255584517124e-01	2.000000e+00	2.701147e+00
2.157083709517124e-01	2.000000e+00	2.729563e+00
2.205911834517124e-01	2.000000e+00	2.752610e+00
2.254739959517124e-01	2.000000e+00	2.770512e+00
2.303568084517124e-01	2.000000e+00	2.783506e+00
2.352396209517124e-01	2.000000e+00	2.791838e+00
2.401224334517124e-01	2.000000e+00	2.795759e+00
2.450052459517124e-01	2.000000e+00	2.795529e+00
2.498880584517124e-01	2.000000e+00	2.791410e+00
2.547708709517124e-01	2.000000e+00	2.783667e+00
2.596536834517124e-01	2.000000e+00	2.772566e+00
2.645364959517124e-01	2.000000e+00	2.758373e+00
2.694193084517124e-01	2.000000e+00	2.741354e+00
2.743021209517124e-01	2.000000e+00	2.721768e+00
2.791849334517124e-01	2.000000e+00	2.699873e+00
2.840677459517124e-01	2.000000e+00	2.675924e+00
2.889505584517124e-01	2.000000e+00	2.650167e+00
2.938333709517124e-01	2.000000e+00	2.622840e+00
2.987161834517124e-01	2.000000e+00	2.594179e+00
3.035989959517124e-01	2.000000e+00	2.564407e+00
3.084818084517124e-01	2.000000e+00	2.533741e+00
3.133646209517124e-01	2.000000e+00	2.502386e+00
3.182474334517124e-01	2.000000e+00	2.470541e+00
3.231302459517124e-01	2.000000e+00	2.438393e+00
3.280130584517124e-01	2.000000e+00	2.406118e+00
3.328958709517124e-01	2.000000e+00	2.373883e+00
3.377786834517124e-01	2.000000e+00	2.341843e+00
3.426614959517124e-01	2.000000e+00	2.310143e+00
3.475443084517124e-01	2.000000e+00	2.278918e+00
3.524271209517124e-01	2.000000e+00	2.248290e+00
3.573099334517124e-01	2.000000e+00	2.218373e+00
3.621927459517124e-01	2.000000e+00	2.189268e+00
3.670755584517124e-01	2.000000e+00	2.161068e+00
3.719583709517124e-01	2.000000e+00	2.133853e+00
3.768411834517124e-01	2.000000e+00	2.107695e+00
3.817239959517124e-01	2.000000e+00	2.082655e+00
3.866068084517124e-01	2.000000e+00	2.058787e+00
3.914896209517124e-01	2.000000e+00	2.036134e+00
3.963724334517124e-01	2.000000e+00	2.014729e+00
4.012552459517124e-01	2.000000e+00	1.994601e+00
4.061380584517124e-01	2.000000e+00	1.975766e+00
4.110208709517124e-01	2.000000e+00	1.958236e+00
4.207864959517124e-01	2.000000e+00	1.927101e+00
4.305521209517124e-01	2.000000e+00	1.901146e+00
4.403177459517124e-01	2.000000e+00	1.880235e+00
4.452005584517124e-01	2.000000e+00	1.871604e+00
4.500833709517124e-01	2.000000e+00	1.864147e+00
4.549661834517124e-01	2.000000e+00	1.857827e+00
4.598489959517124e-01	2.000000e+00	1.852602e+00
4.647318084517124e-01	2.000000e+00	1.848429e+00
4.696146209517124e-01	2.000000e+00	1.845262e+00
4.744974334517124e-01	2.000000e+00	1.843054e+00
4.793802459517124e-01	2.000000e+00	1.841755e+00
4.842630584517124e-01	2.000000e+00	1.841315e+00
4.891458709517124e-01	2.000000e+00	1.841680e+00
4.940286834517124e-01	2.000000e+00	1.842800e+00
4.989114959517124e-01	2.000000e+00	1.844620e+00
5.037943084517125e-01	2.000000e+00	1.847088e+00
5.086771209517125e-01	2.000000e+00	1.850151e+00
5.135599334517125e-01	2.000000e+00	1.853756e+00
5.184427459517125e-01	2.000000e+00	1.857852e+00
5.233255584517125e-01	2.000000e+00	1.862387e+00
5.282083709517125e-01	2.000000e+00	1.867312e+00
5.330911834517125e-01	2.000000e+00	1.872577e+00
5.379739959517125e-01	2.000000e+00	1.878137e+00
5.428568084517125e-01	2.000000e+00	1.883944e+00
5.477396209517125e-01	2.000000e+00	1.889954e+00
5.526224334517125e-01	2.000000e+00	1.896127e+00
5.575052459517125e-01	2.000000e+00	1.902420e+00
5.623880584517125e-01	2.000000e+00	1.908795e+00
5.672708709517125e-01	2.000000e+00	1.915217e+00
5.721536834517125e-01	2.000000e+00	1.921650e+00
5.770364959517125e-01	2.000000e+00	1.928062e+00
5.819193084517125e-01	2.000000e+00	1.934423e+00
